id_user,locality,speciality
43795,"Talavera de la Reina",Divorcios
43795,"Talavera de la Reina","Derecho bancario"
43795,"Talavera de la Reina",Familia
43794,Granollers,Penal
43794,Granollers,"Extranjería y Nacionalidad"
43793,Bilbao,"Accidentes de tráfico"
43793,Bilbao,Inmobiliario
43793,Bilbao,Médico-Sanitario
43793,Bilbao,Penal
43793,Bilbao,"Consumidores y Usuarios"
43793,Bilbao,Seguros
43792,Málaga,Civil
43792,Málaga,"Extranjería y Nacionalidad"
43792,Málaga,"Derecho bancario"
43792,Málaga,Familia
43792,Málaga,Penal
43789,Bilbao,Penal
43789,Bilbao,"Accidentes de tráfico"
43789,Bilbao,Civil
43789,Bilbao,Desahucios
43781,Elche/Elx,Familia
43769,Barcelona,Penal
43768,Cambrils,Laboral
43768,Cambrils,Divorcios
43768,Cambrils,"Consumidores y Usuarios"
43768,Cambrils,Concursal
43768,Cambrils,"Accidentes de tráfico"
43761,Granada,Administrativo
43761,Granada,Urbanismo
43754,Zaragoza,"Accidentes de tráfico"
43753,Durango,Civil
43753,Durango,"Extranjería y Nacionalidad"
43753,Durango,Divorcios
43753,Durango,Penal
43747,"El Ejido",Familia
43747,"El Ejido",Penal
43747,"El Ejido",Desahucios
43747,"El Ejido",Divorcios
43747,"El Ejido","Accidentes de tráfico"
43747,"El Ejido",Civil
43738,Paterna,"Herencias y Testamentos"
43714,Marbella,"Derecho bancario"
43714,Marbella,"Accidentes de tráfico"
43714,Marbella,"Extranjería y Nacionalidad"
43713,Salamanca,"Accidentes de tráfico"
43713,Salamanca,Civil
43713,Salamanca,Concursal
43713,Salamanca,Laboral
43713,Salamanca,Desahucios
43713,Salamanca,"Derecho bancario"
43712,Vigo,"Reclamaciones de cantidad"
43712,Vigo,"Herencias y Testamentos"
43712,Vigo,Civil
43712,Vigo,Familia
43712,Vigo,Laboral
43712,Vigo,Penal
43705,Mérida,Concursal
43705,Mérida,"Herencias y Testamentos"
43705,Mérida,Divorcios
43705,Mérida,Administrativo
43704,Málaga,Civil
43704,Málaga,"Extranjería y Nacionalidad"
43704,Málaga,Familia
43704,Málaga,Penal
43704,Málaga,Desahucios
43697,Vélez-Málaga,"Herencias y Testamentos"
43697,Torrox,"Herencias y Testamentos"
43697,Vélez-Málaga,Alquileres
43697,Torrox,Alquileres
43697,Vélez-Málaga,"Hipotecario y Notarial"
43697,Torrox,"Hipotecario y Notarial"
43697,Vélez-Málaga,Inmobiliario
43697,Torrox,Inmobiliario
43696,Vigo,Desahucios
43696,Vigo,"Derecho bancario"
43696,Vigo,Civil
43696,Vigo,Alquileres
43688,Bilbao,Alquileres
43688,Bilbao,Familia
43688,Bilbao,Administrativo
43687,Sevilla,"Seguridad Social"
43687,Sevilla,Divorcios
43687,Sevilla,Penal
43684,Madrid,"Extranjería y Nacionalidad"
43679,Bilbao,"Extranjería y Nacionalidad"
43679,Bilbao,Laboral
43679,Bilbao,"Seguridad Social"
43679,Bilbao,"Comunidad de propietarios"
43679,Bilbao,Alquileres
43679,Bilbao,Desahucios
43670,Tudela,Divorcios
43670,Tudela,Penal
43665,L'Olleria,Penal
43665,L'Olleria,"Derecho bancario"
43665,L'Olleria,Administrativo
43665,L'Olleria,Civil
43663,Orihuela,Civil
43663,Orihuela,Divorcios
43663,Orihuela,Familia
43663,Orihuela,Laboral
43663,Orihuela,"Herencias y Testamentos"
43653,Pamplona/Iruña,"Derecho bancario"
43650,Soria,"Derecho bancario"
43649,Ourense,"Derecho bancario"
43647,Córdoba,Divorcios
43647,Córdoba,Familia
43644,Málaga,Familia
43644,Málaga,Penal
43644,Málaga,"Seguridad Social"
43644,Málaga,Alquileres
43644,Málaga,Civil
43644,Málaga,"Extranjería y Nacionalidad"
43643,Barcelona,Civil
43643,Barcelona,Seguros
43643,Barcelona,Laboral
43642,"El Puerto de Santa María","Herencias y Testamentos"
43642,"El Puerto de Santa María",Civil
43642,"El Puerto de Santa María",Divorcios
43631,Barcelona,Concursal
43631,Barcelona,"Herencias y Testamentos"
43631,Barcelona,"Propiedad Intelectual"
43631,Barcelona,"Propiedad Industrial"
43625,Irun,"Reclamaciones de cantidad"
43617,Madrid,Familia
43617,Madrid,Internacional
43617,Madrid,Civil
43616,Calonge,Familia
43613,Zaragoza,Inmobiliario
43613,Zaragoza,Laboral
43613,Zaragoza,Penal
43613,Zaragoza,Alquileres
43613,Zaragoza,"Extranjería y Nacionalidad"
43611,Mengíbar,"Accidentes de tráfico"
43611,Mengíbar,Familia
43611,Mengíbar,Desahucios
43611,Mengíbar,Divorcios
43611,Mengíbar,"Comunidad de propietarios"
43611,Mengíbar,"Herencias y Testamentos"
43609,"Las Palmas de Gran Canaria","Accidentes de tráfico"
43607,Madrid,"Extranjería y Nacionalidad"
43603,Montijo,"Herencias y Testamentos"
43603,Montijo,Laboral
43603,Montijo,Divorcios
43602,"Santiago de Compostela",Civil
43602,"Santiago de Compostela",Familia
43602,"Santiago de Compostela",Penal
43600,Barcelona,Concursal
43600,Barcelona,Civil
43597,Huesca,"Accidentes de tráfico"
43597,Huesca,Civil
43597,Huesca,Laboral
43597,Huesca,"Derecho bancario"
43597,Huesca,Seguros
43586,"Sant Cugat del Vallès","Extranjería y Nacionalidad"
43586,"Sant Cugat del Vallès","Derecho bancario"
43585,Madrid,"Propiedad Intelectual"
43583,Sevilla,"Reclamaciones de cantidad"
43583,Sevilla,Alquileres
43583,Sevilla,Desahucios
43583,Sevilla,Procesal
43583,Sevilla,Administrativo
43583,Sevilla,Civil
43579,"Villanueva de la Cañada",Divorcios
43579,"Villanueva de la Cañada",Familia
43578,Barcelona,"Hipotecario y Notarial"
43578,Barcelona,Inmobiliario
43578,Barcelona,Procesal
43578,Barcelona,"Accidentes de tráfico"
43578,Barcelona,"Reclamaciones de cantidad"
43578,Barcelona,Alquileres
43577,Alicante,Seguros
43577,Alicante,"Comunidad de propietarios"
43577,Alicante,"Extranjería y Nacionalidad"
43577,Alicante,"Derecho bancario"
43575,Sevilla,Divorcios
43575,Sevilla,"Reclamaciones de cantidad"
43575,Sevilla,"Propiedad Intelectual"
43575,Sevilla,Penal
43575,Sevilla,Civil
43574,"Las Palmas de Gran Canaria",Civil
43574,"Las Palmas de Gran Canaria",Tributario-Fiscal
43574,"Las Palmas de Gran Canaria",Marítimo
43574,"Las Palmas de Gran Canaria","Mediación y Arbitraje"
43574,"Las Palmas de Gran Canaria",Mercantil
43574,"Las Palmas de Gran Canaria",Penal
43572,Arucas,Familia
43572,Arucas,"Nuevas tecnologías"
43572,Arucas,Penal
43572,Arucas,"Herencias y Testamentos"
43570,Córdoba,"Seguridad Social"
43570,Córdoba,"Herencias y Testamentos"
43570,Córdoba,Divorcios
43570,Córdoba,Familia
43570,Córdoba,Laboral
43566,Madrid,Penal
43566,Madrid,"Recurso de multas"
43563,Bilbao,"Nuevas tecnologías"
43562,Pamplona/Iruña,"Accidentes de tráfico"
43561,Barcelona,Penal
43558,Guadalajara,Laboral
43558,Guadalajara,Civil
43558,Guadalajara,Divorcios
43555,Sevilla,"Accidentes de tráfico"
43551,"Pilar de la Horadada","Accidentes de tráfico"
43551,"Pilar de la Horadada","Extranjería y Nacionalidad"
43551,"Pilar de la Horadada",Desahucios
43551,"Pilar de la Horadada",Divorcios
43549,Barcelona,Penal
43549,Barcelona,"Herencias y Testamentos"
43549,Barcelona,"Propiedad Intelectual"
43549,Barcelona,"Accidentes de tráfico"
43549,Barcelona,Civil
43548,Guadalajara,Familia
43548,Almería,Familia
43548,Guadalajara,Divorcios
43548,Almería,Divorcios
43546,Valencia,"Hipotecario y Notarial"
43546,Valencia,Inmobiliario
43546,Valencia,Internacional
43546,Valencia,Médico-Sanitario
43546,Valencia,Civil
43546,Valencia,"Herencias y Testamentos"
43545,"Ciutadella de Menorca",Penal
43544,Gijón,Penal
43543,"Navalmoral de la Mata",Familia
43543,"Navalmoral de la Mata",Inmobiliario
43543,"Navalmoral de la Mata",Mercantil
43543,"Navalmoral de la Mata",Divorcios
43543,"Navalmoral de la Mata","Derecho bancario"
43543,"Navalmoral de la Mata","Accidentes de tráfico"
43539,Girona,"Accidentes de tráfico"
43538,"A Coruña",Penal
43536,Marbella,Penal
43535,Ferrol,Penal
43534,Betanzos,Penal
43533,Melilla,Penal
43532,Murcia,Penal
43531,Alicante,Penal
43530,Pamplona/Iruña,Familia
43530,Pamplona/Iruña,Civil
43530,Pamplona/Iruña,"Reclamaciones de cantidad"
43530,Pamplona/Iruña,Concursal
43530,Pamplona/Iruña,Alquileres
43530,Pamplona/Iruña,Divorcios
43529,Binéfar,Divorcios
43529,Binéfar,"Accidentes de tráfico"
43529,Binéfar,Civil
43529,Binéfar,"Seguridad Social"
43529,Binéfar,"Herencias y Testamentos"
43528,Valencia,Penal
43523,Cuenca,Penal
43520,"Santa Cruz de Tenerife",Penal
43518,Jaén,Penal
43517,Málaga,Penal
43514,"Ciudad Real",Penal
43513,Badajoz,Penal
43512,Toledo,Penal
43511,"Castellón de la Plana",Penal
43510,Pamplona/Iruña,"Accidentes de tráfico"
43508,Adra,"Accidentes de tráfico"
43508,Adra,Civil
43508,Adra,Divorcios
43508,Adra,"Derecho bancario"
43508,Adra,Laboral
43508,Adra,Penal
43506,Barcelona,"Extranjería y Nacionalidad"
43505,Teruel,Penal
43504,Oviedo,Laboral
43504,Oviedo,Mercantil
43504,Oviedo,Administrativo
43504,Oviedo,Concursal
43503,Guadalajara,Penal
43502,Zaragoza,Penal
43500,Huesca,Penal
43499,Soria,Penal
43497,Pamplona/Iruña,Penal
43496,Vitoria-Gasteiz,Penal
43494,"Donostia/San Sebastián",Penal
43493,Ávila,Penal
43492,Ponferrada,"Extranjería y Nacionalidad"
43491,Segovia,Penal
43490,Laredo,Penal
43489,Palencia,Penal
43488,Lugo,Penal
43487,Oviedo,Laboral
43487,Oviedo,Mercantil
43487,Oviedo,Administrativo
43487,Oviedo,Concursal
43487,Oviedo,"Derecho bancario"
43486,"Jerez de la Frontera",Divorcios
43486,"Jerez de la Frontera",Civil
43486,"Jerez de la Frontera",Penal
43486,"Jerez de la Frontera","Herencias y Testamentos"
43483,Fuengirola,"Herencias y Testamentos"
43483,Fuengirola,"Extranjería y Nacionalidad"
43483,Fuengirola,Divorcios
43483,Fuengirola,Familia
43483,Fuengirola,Laboral
43482,Cartagena,"Extranjería y Nacionalidad"
43481,Sevilla,Administrativo
43481,Sevilla,"Extranjería y Nacionalidad"
43481,Sevilla,"Seguridad Social"
43477,Córdoba,Penal
43476,Sevilla,Penal
43475,"El Puerto de Santa María",Penal
43473,Zamora,Penal
43465,Zamora,Penal
43464,Zamora,Penal
43463,Rivas-Vaciamadrid,Penal
43462,Madrid,Penal
43461,Madrid,Penal
43458,Almería,Penal
43457,Granada,Penal
43456,"Jerez de la Frontera",Penal
43455,Tarragona,Penal
43449,Huelva,Penal
43448,Burgos,Penal
43447,Salamanca,Penal
43439,"Vilanova i la Geltrú",Familia
43439,"Vilanova i la Geltrú",Inmobiliario
43439,"Vilanova i la Geltrú",Penal
43439,"Vilanova i la Geltrú",Divorcios
43438,Madrid,"Extranjería y Nacionalidad"
43437,Pontevedra,Penal
43436,Logroño,Penal
43435,Madrid,Penal
43434,León,Penal
43432,Albacete,Médico-Sanitario
43432,Albacete,Penal
43432,Albacete,"Derecho bancario"
43432,Albacete,"Seguridad Social"
43432,Albacete,"Accidentes de tráfico"
43432,Albacete,Administrativo
43431,Algeciras,Penal
43430,"Santiago de Compostela",Penal
43429,Valladolid,Penal
43427,Cádiz,Penal
43426,"Las Palmas de Gran Canaria",Penal
43425,Ourense,Familia
43425,Ourense,Penal
43425,Ourense,"Accidentes de tráfico"
43425,Ourense,Civil
43425,Ourense,"Extranjería y Nacionalidad"
43425,Ourense,Divorcios
43419,Oviedo,Penal
43417,"Puerto del Rosario",Penal
43417,"Puerto del Rosario","Extranjería y Nacionalidad"
43415,Barcelona,Penal
43413,Lleida,Penal
43412,Almería,Familia
43412,Almería,"Mediación y Arbitraje"
43412,Almería,Divorcios
43410,"Valverde del Camino",Divorcios
43410,"Valverde del Camino",Familia
43410,"Valverde del Camino",Penal
43410,"Valverde del Camino","Accidentes de tráfico"
43410,"Valverde del Camino",Civil
43410,"Valverde del Camino","Herencias y Testamentos"
43409,Vigo,Penal
43408,Sestao,Penal
43406,Girona,Penal
43401,Cártama,Familia
43401,Cártama,Civil
43398,Madrid,Civil
43398,Madrid,Familia
43398,Madrid,Penal
43394,Madrid,"Mediación y Arbitraje"
43394,Madrid,Procesal
43394,Madrid,"Herencias y Testamentos"
43392,"Castellón de la Plana","Seguridad Social"
